[11:00:24,264] WARN  {KConfig} missing:system.aggregator.ip
[11:18:37,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:18:37,910] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:18:39,196] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:18:42,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:18:42,910] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:18:44,193] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:18:47,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:18:47,910] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:18:49,195] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:18:52,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:18:52,912] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:18:54,194] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:18:57,237] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:18:57,912] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:18:59,195] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:02,236] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:02,909] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:04,195] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:07,237] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:07,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:09,194] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:12,240] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:12,913] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:14,192] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:17,235] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:17,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:19,195] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:22,237] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:22,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:24,195] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:27,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:27,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:29,192] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:32,237] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:32,910] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:34,196] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:37,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:37,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:39,193] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:42,240] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:42,910] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:44,194] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:47,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:47,913] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:49,196] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:52,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:52,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:54,192] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:19:57,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:19:57,908] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:19:59,192] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:02,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
